county,waterbody.type,wbic,name,name.local,named,hydro.unit,basin.maj,basin.min,seg.no,landlock,lake.type,access,area,impound,size.code,dep.max,dep.avg,len.shore,len.shore.m,dist.ash,muskie,nor.pike,wae,lmb,smb,pan,trout,cat,sturg,merc.warn
Ashland,RF,2412100,UN LAKE,NA,FALSE,7050001,2,261,1,NA,NA,NA,NA,2,VS,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2427400,UN LAKE,NA,FALSE,7050001,2,261,1,NA,NA,NA,NA,16,VS,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2428200,UN LAKE,NA,FALSE,7050001,2,261,1,NA,NA,NA,NA,0,VS,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2428500,UN LAKE,NA,FALSE,7050001,2,261,1,NA,NA,NA,NA,0,VS,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2429800,UN LAKE,NA,FALSE,7050001,2,261,1,NA,NA,NA,NA,4,VS,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2777100,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2777200,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2786000,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,3,VS,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2786100,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2786200,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2786300,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,2,VS,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2786400,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2787100,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,2,VS,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2787200,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,4,VS,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2787600,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,2,VS,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2787700,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,4,VS,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2791100,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,2,VS,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2791200,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,10,VS,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2791300,UN LAKE,NA,FALSE,4010302,3,280,1,TRUE,NA,NA,NA,10,VS,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
